fold,flatBand,slopeLen,adxStrongTh,minScore,cooldown,is_n,is_pf,is_exp,is_win_rate,is_wins,is_losses,is_win3R,is_tp1R,is_sl
0,0.5,10,20,50,25,36,2.3684210526315788,0.7222222222222222,0.4722222222222222,17,19,14,3,19
0,0.5,10,20,50,50,30,1.736842105263158,0.4666666666666667,0.36666666666666664,11,19,11,0,19
0,0.5,10,20,60,10,34,2.4444444444444446,0.7647058823529411,0.47058823529411764,16,18,14,2,18
0,0.5,10,20,60,25,36,2.2,0.6666666666666666,0.4444444444444444,16,20,14,2,20
0,0.5,10,20,60,50,30,1.736842105263158,0.4666666666666667,0.36666666666666664,11,19,11,0,19
0,0.5,10,20,75,10,34,2.4444444444444446,0.7647058823529411,0.47058823529411764,16,18,14,2,18
0,0.5,10,20,75,25,36,2.2,0.6666666666666666,0.4444444444444444,16,20,14,2,20
0,0.5,10,20,75,50,30,1.736842105263158,0.4666666666666667,0.36666666666666664,11,19,11,0,19
0,0.5,10,25,50,10,34,2.6470588235294117,0.8235294117647058,0.5,17,17,14,3,17
0,0.5,10,25,50,25,36,2.3684210526315788,0.7222222222222222,0.4722222222222222,17,19,14,3,19
0,0.5,10,25,50,50,30,1.736842105263158,0.4666666666666667,0.36666666666666664,11,19,11,0,19
0,0.5,10,25,60,10,35,2.15,0.6571428571428571,0.42857142857142855,15,20,14,1,20
0,0.5,10,25,60,25,36,2.0476190476190474,0.6111111111111112,0.4166666666666667,15,21,14,1,21
0,0.5,10,25,60,50,30,1.736842105263158,0.4666666666666667,0.36666666666666664,11,19,11,0,19
0,0.5,10,25,75,10,35,2.15,0.6571428571428571,0.42857142857142855,15,20,14,1,20
0,0.5,10,25,75,25,36,2.0476190476190474,0.6111111111111112,0.4166666666666667,15,21,14,1,21
0,0.5,10,25,75,50,30,1.736842105263158,0.4666666666666667,0.36666666666666664,11,19,11,0,19
0,0.5,20,20,50,10,48,1.5161290322580645,0.3333333333333333,0.3541666666666667,17,31,15,2,31
0,0.5,20,20,50,25,40,2.3333333333333335,0.7,0.475,19,21,15,4,21
0,0.5,20,20,50,50,33,1.55,0.3333333333333333,0.3939393939393939,13,20,9,4,20
