entry_t,exit_t,R,instr
2025-12-07 08:00:00,2025-12-08 08:00:00,-1.0,BTCUSD
2025-11-25 07:00:00,2025-12-09 07:00:00,1.0,XAUUSD
2025-12-09 07:00:00,2025-12-09 11:00:00,-1.0,XAUUSD
2025-12-11 07:00:00,2025-12-12 11:00:00,3.0,XAUUSD
2025-12-12 11:00:00,2025-12-12 18:00:00,-1.0,XAUUSD
2025-12-15 13:00:00,2025-12-15 18:00:00,-1.0,XAUUSD
2025-12-17 10:00:00,2025-12-22 17:00:00,3.0,XAUUSD
2025-12-22 17:00:00,2025-12-26 17:00:00,3.0,XAUUSD
2025-12-26 17:00:00,2025-12-29 02:00:00,-1.0,XAUUSD
2025-12-15 08:00:00,2026-01-03 08:00:00,1.0,BTCUSD
2025-12-30 07:00:00,2026-01-05 07:00:00,-1.0,XAUUSD
2026-01-05 07:00:00,2026-01-08 11:00:00,1.0,XAUUSD
2026-01-08 11:00:00,2026-01-08 22:00:00,-1.0,XAUUSD
2026-01-09 13:00:00,2026-01-12 02:00:00,3.0,XAUUSD
2026-01-03 08:00:00,2026-01-14 00:00:00,3.0,BTCUSD
2026-01-12 15:00:00,2026-01-16 17:00:00,-1.0,XAUUSD
2026-01-14 08:00:00,2026-01-19 00:00:00,-1.0,BTCUSD
2026-01-19 07:00:00,2026-01-21 03:00:00,3.0,XAUUSD
2026-01-21 07:00:00,2026-01-21 19:00:00,-1.0,XAUUSD
2026-01-23 07:00:00,2026-01-23 11:00:00,-1.0,XAUUSD
2026-01-26 09:00:00,2026-01-26 21:00:00,-1.0,XAUUSD
2026-01-27 11:00:00,2026-01-28 22:00:00,3.0,XAUUSD
2026-01-20 08:00:00,2026-01-29 16:00:00,3.0,BTCUSD
2026-01-29 07:00:00,2026-01-29 17:00:00,-1.0,XAUUSD
2026-01-30 09:00:00,2026-02-02 07:00:00,3.0,XAUUSD
2026-02-02 11:00:00,2026-02-03 15:00:00,-1.0,XAUUSD
2026-01-30 08:00:00,2026-02-05 04:00:00,3.0,BTCUSD
2026-02-03 15:00:00,2026-02-05 12:00:00,-1.0,XAUUSD
2026-02-05 12:00:00,2026-02-09 01:00:00,-1.0,XAUUSD
2026-02-09 07:00:00,2026-02-12 18:00:00,-1.0,XAUUSD
2026-02-13 07:00:00,2026-02-13 21:00:00,-1.0,XAUUSD
2026-02-17 07:00:00,2026-02-18 16:00:00,-1.0,XAUUSD
2026-02-19 07:00:00,2026-02-23 01:00:00,3.0,XAUUSD
2026-02-05 08:00:00,2026-02-27 08:00:00,1.0,BTCUSD
2026-02-27 08:00:00,2026-02-28 08:00:00,-1.0,BTCUSD
2026-02-23 07:00:00,2026-03-02 01:00:00,3.0,XAUUSD
2026-03-02 07:00:00,2026-03-02 18:00:00,-1.0,XAUUSD
2026-03-04 16:00:00,2026-03-06 16:00:00,-1.0,BTCUSD
2026-03-03 16:00:00,2026-03-10 07:00:00,-1.0,XAUUSD
2026-03-09 08:00:00,2026-03-10 08:00:00,-1.0,BTCUSD
2026-03-10 07:00:00,2026-03-12 20:00:00,-1.0,XAUUSD
2026-03-13 07:00:00,2026-03-18 13:00:00,3.0,XAUUSD
2026-03-18 13:00:00,2026-03-19 08:00:00,3.0,XAUUSD
2026-03-13 12:00:00,2026-03-19 08:00:00,-1.0,BTCUSD
2026-03-19 15:00:00,2026-03-23 08:00:00,3.0,XAUUSD
2026-03-23 08:00:00,2026-03-23 13:00:00,-1.0,XAUUSD
2026-03-25 07:00:00,2026-03-26 08:00:00,-1.0,XAUUSD
2026-03-26 13:00:00,2026-03-27 17:00:00,-1.0,XAUUSD
2026-03-30 12:00:00,2026-04-02 12:00:00,1.0,XAUUSD
2026-03-20 08:00:00,2026-04-06 16:00:00,1.0,BTCUSD
2026-04-02 12:00:00,2026-04-08 01:00:00,-1.0,XAUUSD
2026-04-08 07:00:00,2026-04-08 21:00:00,-1.0,XAUUSD
2026-04-13 07:00:00,2026-04-14 09:00:00,-1.0,XAUUSD
2026-04-06 16:00:00,2026-04-17 12:00:00,3.0,BTCUSD
2026-04-14 09:00:00,2026-04-20 09:00:00,1.0,XAUUSD
2026-04-20 09:00:00,2026-04-28 12:00:00,3.0,XAUUSD
