symbol,target_type,window,flags,n,settle_rate,win_rate,pf,total_pips,avg_pips,avg_settle_h,med_settle_h,avg_rr,med_rr,avg_dist,pct_timeout
EURUSD,offset,offset_08:00,RAW|1:1,779,68.7,69.7,2.98,5718.0,7.3,3.1,1.8,0.4,1.0,15.7,3.3
EURUSD,offset,offset_08:00,LLR|1:1.5,569,75.9,77.3,2.98,4424.0,7.8,3.7,2.0,0.31,0.67,15.7,5.4
EURUSD,offset,offset_08:00,H4+CLU+LLR|1:1.5,134,72.4,76.1,2.98,1905.0,14.2,6.7,5.0,0.31,0.67,30.2,14.2
EURUSD,offset,offset_05:00,H4|1:2,432,78.2,79.6,2.97,3386.0,7.8,2.9,1.0,0.24,0.5,16.0,8.1
EURUSD,offset,offset_05:00,EMA+LLR|1:1.5,245,73.1,73.9,2.97,1549.0,6.3,2.1,0.5,0.24,0.67,12.4,3.3
EURUSD,offset,offset_05:00,EMA+LLR|1:2,245,77.6,78.4,2.97,1596.0,6.5,2.2,0.4,0.19,0.5,12.4,4.1
EURUSD,offset,offset_08:00,RAW|1:2,779,80.1,81.3,2.97,6203.0,8.0,3.3,1.5,0.25,0.5,15.7,6.5
EURUSD,offset,offset_09:00,H4+CLU+LLR|1:1,139,67.6,70.5,2.97,1929.0,13.9,5.8,4.2,0.42,1.0,30.3,7.9
EURUSD,offset,offset_04:00,H4|tier,419,82.8,83.8,2.95,3121.0,7.4,3.0,1.0,0.19,0.33,15.2,9.3
EURUSD,offset,offset_08:00,RAW|tier,779,83.3,84.5,2.95,6297.0,8.1,3.4,1.5,0.19,0.33,15.7,8.3
EURUSD,offset,offset_08:00,CLU|1:1,283,67.5,70.3,2.95,3638.0,12.9,5.9,4.2,0.42,1.0,28.5,8.5
EURUSD,offset,offset_06:00,EMA+LLR|1:1,245,65.7,66.1,2.94,1583.0,6.5,2.4,1.0,0.33,1.0,13.5,1.6
EURUSD,offset,offset_06:00,H4+LLR|tier,316,82.6,83.9,2.93,2733.0,8.6,3.7,2.2,0.2,0.33,17.3,9.5
EURUSD,offset,offset_08:00,LLR|tier,569,83.7,85.1,2.93,4565.0,8.0,3.7,1.9,0.2,0.33,15.7,8.8
EURUSD,offset,offset_06:00,EMA+LLR|1:1.5,245,73.9,74.3,2.92,1686.0,6.9,2.6,1.0,0.25,0.67,13.5,2.9
EURUSD,offset,offset_06:00,EMA+CLU|tier,78,78.2,78.2,2.92,1223.0,15.7,5.6,3.8,0.19,0.33,30.5,14.1
EURUSD,offset,offset_08:00,CLU|1:1.5,283,72.1,75.3,2.92,3798.0,13.4,6.4,4.5,0.3,0.67,28.5,12.7
EURUSD,offset,offset_06:00,EMA+LLR|1:2,245,80.0,80.4,2.91,1747.0,7.1,2.8,1.0,0.22,0.5,13.5,3.3
EURUSD,offset,offset_07:00,RAW|1:1,778,69.2,69.9,2.91,5575.0,7.2,3.1,1.2,0.41,1.0,15.6,3.1
EURUSD,offset,offset_07:00,EMA+CLU+LLR|tier,72,79.2,80.6,2.91,1089.0,15.1,5.5,3.8,0.21,0.33,29.2,12.5
EURUSD,offset,offset_09:00,LLR|1:1.5,565,73.5,74.9,2.91,4354.0,7.7,3.7,2.0,0.27,0.67,15.8,5.8
EURUSD,offset,offset_09:00,H4+CLU+LLR|tier,139,72.7,76.3,2.91,2002.0,14.4,6.3,4.5,0.19,0.33,30.3,23.0
EURUSD,offset,offset_06:00,H4+CLU|1:1,167,68.9,70.1,2.9,2294.0,13.7,5.5,3.8,0.43,1.0,30.5,7.8
EURUSD,offset,offset_06:00,H4+CLU|1:2,167,73.7,75.4,2.89,2388.0,14.3,6.0,4.0,0.23,0.5,30.5,16.8
EURUSD,offset,offset_06:00,EMA+CLU|1:1.5,78,74.4,74.4,2.89,1184.0,15.2,5.1,3.8,0.29,0.67,30.5,7.7
EURUSD,offset,offset_07:00,RAW|tier,778,83.4,84.3,2.89,6145.0,7.9,3.4,1.2,0.19,0.33,15.6,7.6
EURUSD,offset,offset_08:00,H4+LLR|1:1,321,68.8,70.1,2.89,2565.0,8.0,3.3,2.2,0.41,1.0,17.5,3.4
EURUSD,offset,offset_07:00,LLR|1:1.5,566,76.1,77.2,2.88,4263.0,7.5,3.7,1.8,0.31,0.67,15.7,5.1
EURUSD,offset,offset_07:00,EMA+CLU|tier,91,80.2,81.3,2.88,1379.0,15.2,5.2,4.2,0.21,0.33,29.0,11.0
EURUSD,offset,offset_09:00,CLU|1:1,298,66.8,69.5,2.88,3764.0,12.6,5.8,4.5,0.41,1.0,28.3,7.7
EURUSD,offset,offset_09:00,CLU|1:1.5,298,70.8,73.8,2.88,3935.0,13.2,6.3,4.5,0.28,0.67,28.3,13.8
EURUSD,offset,offset_05:00,H4|tier,432,81.9,83.3,2.87,3379.0,7.8,2.9,1.0,0.18,0.33,16.0,8.8
EURUSD,offset,offset_06:00,H4+LLR|1:2,316,78.8,80.1,2.87,2662.0,8.4,3.7,2.2,0.24,0.5,17.3,7.3
EURUSD,offset,offset_06:00,H4+CLU+LLR|1:1.5,118,71.2,73.7,2.87,1680.0,14.2,6.8,5.0,0.3,0.67,31.6,16.1
EURUSD,offset,offset_04:00,EMA+H4+CLU+LLR|1:1,42,64.3,64.3,2.86,604.0,14.4,4.1,3.0,0.33,1.0,32.1,7.1
EURUSD,offset,offset_05:00,H4+CLU+LLR|1:2,102,70.6,75.5,2.86,1448.0,14.2,6.8,4.2,0.24,0.5,32.5,23.5
EURUSD,offset,offset_05:00,EMA+LLR|tier,245,82.9,83.7,2.86,1609.0,6.6,2.4,0.2,0.15,0.33,12.4,4.1
EURUSD,offset,offset_08:00,LLR|1:2,569,79.6,81.0,2.86,4413.0,7.8,3.7,2.0,0.25,0.5,15.7,7.0
